R1X;R1Y;R1Z;R2X;R2Y;R2Z;R3X;R3Y;R3Z;R4X;R4Y;R4Z;R5X;R5Y;R5Z;R6X;R6Y;R6Z;R7X;R7Y;R7Z;L1X;L1Y;L1Z;L2X;L2Y;L2Z;L3X;L3Y;L3Z;L4X;L4Y;L4Z;L5X;L5Y;L5Z;L6X;L6Y;L6Z;L7X;L7Y;L7Z
231.78;228.7;55.56;49.15;168.19;213.11;16.69;190.03;40.23;240.28;174.16;32.7;225.6;216.31;17.75;22.38;196.91;185.39;44.02;100.95;47.87;256.69;46.22;239.1;155.32;117.18;142.12;47.04;52.73;58.42;48.29;52.27;32.75;247.75;8.84;250.46;83.12;85.86;43.57;229.8;197.68;35.68
238.7;233.63;55.95;50.15;176.72;218.76;18.66;198.37;39.64;221.11;178.04;31.65;232.92;221.95;17.66;24.18;205.61;196.95;44.49;105.71;48.16;263.27;48.56;246.19;156.26;121.03;143.72;48.74;54.69;54.18;50.89;52.29;35.51;254.69;35.92;256.24;79.02;88.56;43.53;235.83;202.17;36.44
222.03;233.3;76.33;51.68;167.97;220.68;21.26;187.32;64.29;209.05;188.37;53.38;242.2;225.07;41.87;26.35;190.28;204.78;64.05;107.67;66.79;269.03;52.53;253.38;152.72;123.21;141.15;50.18;55.04;50.55;53.25;52.8;38.48;261.53;59.56;260.93;74.81;91.08;43.07;242.87;204.34;35.88
210.43;242.34;90.9;76.27;165.12;216.35;20.12;179.78;82.79;197.63;174.45;72.82;223.73;226.66;61.84;28.05;176.72;210.58;82.04;108.19;83.48;273.87;56.73;259.56;150;124.95;139.4;51.68;55.62;47.33;55.42;53.39;41.51;268.17;80.57;264.92;70.88;93.73;42.5;249.76;205.75;34.79
200.53;227.67;105.17;95.81;161.37;209.44;46.29;172.77;98.02;187.01;163.26;90.67;207.85;228.47;79.03;29.29;164.76;215.01;98.68;107.82;98.74;277.35;60.25;263.26;148.11;126.24;138.47;53.07;56.76;44.17;57.35;54.13;44.18;274.54;99.18;268.13;66.98;96.32;41.5;256.59;206.73;33.09
193.53;218.73;119.54;111.69;158.07;200.83;69.65;166.8;111.31;177.45;153.04;107.24;193.52;230.56;94.38;30.32;153.68;218.97;114.05;107.52;112.93;280.11;60.76;267.11;146.43;128.45;137.71;54.11;58.39;41.24;58.82;54.95;46.77;280.25;116.88;271;64.16;98.63;41.52;261.61;208.37;32.8
186.95;210.25;132.94;126.35;154.23;192.86;91.58;161.18;123.91;168.28;142.96;122.37;180.15;231.61;109.06;31.32;143.08;222.43;128.26;107.62;125.97;281.97;62.46;269.87;146.07;130.22;138.2;55.13;60.51;38.45;59.64;55.85;48.91;285.62;133.34;273.68;62.06;100.22;42.23;264.98;211.09;33.8
180.5;203.23;145.23;141.26;147.51;186.71;112.66;153.16;136.99;157.55;159;137.85;166.11;234.04;125.33;32.3;160.34;226.45;142.21;109.48;138.73;283.14;63.76;271.95;147.74;132.19;140.76;56;63.67;35.63;60.17;55.16;50.39;290.36;149.22;277.14;61.21;100.33;44.02;266.85;216.91;36.04
174.19;195.97;156.27;155.78;140.93;182.32;104.12;169.56;152.42;173.54;170.01;128.22;178.81;238.07;115.55;32.94;172.04;232.75;134.15;112.86;130.28;284.8;64.79;274.44;151.2;134.57;144.83;56.25;67.03;61.3;60.51;52.69;51.03;294.2;164.27;280.91;60.59;98.97;46;268.43;224.26;38.32
168.49;187.98;166.62;169.85;135.15;179.65;96.17;183.42;167.81;187.45;180.68;120.49;190.25;242.62;107.06;33.17;181.73;239.2;127.84;115.34;123.65;286.7;65.7;277.2;153.78;137.13;147.92;56.36;69.82;84.91;60.76;49.74;51.7;297.7;178.57;284.39;60.1;97.19;48.13;269.98;231.72;40.57
163.32;180.47;176.17;182.77;129.94;177.18;88.89;196.23;182.14;200.14;190.63;113.55;200.68;246.84;99.31;33.38;190.55;245.15;122.37;117.49;117.87;288.44;66.57;279.67;155.99;139.44;150.49;56.47;72.47;106.54;61.13;46.58;52.42;300.93;191.55;287.54;59.87;95.22;50.25;271.3;238.99;42.81
158.4;173.74;184.98;194.65;124.73;174.94;82.12;207.76;195.33;211.63;199.99;107.11;210.38;250.79;92.03;33.8;198.93;250.19;117.32;119.69;112.38;290.05;67.37;281.81;156.66;141.51;151.46;56.61;74.8;126.38;61.7;43.39;53.24;303.89;203.07;290.3;59.91;92.88;52.31;272.41;245.2;44.79
154.52;168.77;193.38;204.19;119.27;170.93;75.73;193.76;204.45;196.88;210.87;124.35;221.04;251.22;111.8;34.16;210.96;251.13;134;121.2;127.5;291.52;68.71;283.83;154.8;141.75;150.52;57.34;75.71;116.52;63.19;40.99;54.85;306.7;211.96;291.87;59.81;91.37;53.53;273.77;248.52;45.94
150.13;163.88;200.32;212.83;115.82;167.65;97.97;183.19;210.82;184.22;195.54;138.9;204.33;252.05;127.55;34.57;221.72;251.05;148.47;122;140.44;292.52;70.38;285.52;152.82;141.4;150.21;58.53;76.31;107.99;65.11;37.92;56.49;309.5;219.31;293.14;59.78;89.8;54.65;274.99;251.69;47.09
145.23;157.5;206.02;221.28;113.23;164.97;90.15;173.79;217.31;172.86;180.15;152.56;188.01;251.5;142.97;35.02;231.6;251.85;161.99;123.72;153.17;294.17;71.31;288.03;149.89;142.77;147.3;58.61;77.4;127.91;66.25;35.1;58.16;311.96;227.26;294.31;59.7;88.43;56.33;276.29;256.61;48.37
140.3;173.55;210.79;232.33;113.93;166.18;85.7;164.19;226.7;162.83;189.56;166.26;198.3;251.2;131.68;35.54;240.5;254.76;149.41;127.09;140.94;295.21;71.75;289;154.66;144.72;151.89;58.23;79.78;145.56;66.99;32.54;59.41;313.85;234.55;295.25;59.66;87.33;58.02;277.35;262.29;49.77
135.32;177.74;216;219.64;109.22;173.6;83.43;178.92;208.69;150.91;193.12;153.43;207.54;252.46;121.77;36.18;248.19;259.1;141.87;129.17;134.31;295.6;72.72;288.95;160.76;145.71;157.71;57.36;82.92;161.01;67.3;58.47;60.1;315.33;241.68;296.19;59.49;85.92;59.64;278.41;268.57;51.14
152.14;183.68;199.31;207.14;128.34;181.36;80.6;188.29;193.76;165.83;197.4;145.37;215.7;254.16;113.1;36.96;255.39;264.01;135.49;130.32;129.06;296.44;72.27;289.55;167.72;146.08;164.33;55.72;86.07;174.31;67.46;82.04;60.47;316.59;248.21;296.91;59.24;84.42;61.1;279.45;274.63;52.41
167.26;191.17;185.3;195.75;144.32;189.09;77.77;195.52;180.78;179.24;201.48;138.32;223.53;255.83;104.91;37.7;261.86;268.71;129.44;131.19;123.99;297.6;71.12;290.54;174.47;146.38;170.72;53.98;88.87;186.28;67.62;103.24;60.75;317.73;254.1;297.43;59.08;82.74;62.55;280.39;280.63;53.63
181.18;198.79;172.35;185.16;159.35;196.08;75.18;202.57;168.78;191.72;205.37;131.7;230.75;257.26;97.33;38.48;268.06;272.84;123.94;132.24;119.32;298.78;69.75;291.48;180.61;146.62;176.51;52.27;91.58;197.06;67.9;122.43;61.06;318.85;259.11;297.7;59.02;80.98;63.89;281.2;286.1;54.8
194.25;205.11;159.79;175.58;174.42;202.17;73.46;210.45;156.89;204.13;207.81;124.19;237.54;257.82;89.95;39.55;274.53;276.03;119.12;134.15;115.05;300.01;68.07;292.46;186.09;147.23;181.71;51.05;94.09;207.37;68.61;139.79;61.75;320.33;263.21;297.58;59.31;79.13;65.25;281.76;290.6;56.06
181.4;209.68;171.88;167.12;166.48;206.56;72.54;195;172.99;192.84;211.29;138.96;245.39;257.01;109.12;40.73;255.55;277.46;132.25;136.19;128.14;300.75;68.68;293.36;186.42;148.7;182.01;51.02;96.02;218.05;69.83;155.58;62.91;322.37;266.54;297.06;59.73;77.09;66.5;282.33;292.43;57.28
173.84;219.85;179.15;179.27;166.2;200.74;69.78;188.34;184.93;183.61;220.82;151.55;227.27;256.23;122.59;40.97;241.41;277.12;144.32;135.27;139.94;301.15;69.65;294.27;182;149.78;177.79;51.08;96.82;228.3;70.69;170.15;64.18;324.88;269.11;295.94;59.97;75.48;67.47;282.87;292.91;58.22
166.6;210.63;185.43;188.27;158.92;192.39;91.3;181.41;190.61;174.91;203.97;163.34;212.53;256.02;133.16;40.81;227.43;275.21;155.88;133.58;150.77;301.46;69.7;294.77;178.33;150.36;174.3;51.37;97.85;237.94;71.45;183.35;65.53;298.98;271.11;294.36;60.17;74.25;68.23;283.3;292.95;58.87
163.06;205.74;193.86;195.8;150.58;184.15;110.15;174.56;194.83;166.95;189.38;174.36;199.37;256.39;142.43;40.46;214.56;272.94;166.6;131.74;160.79;302.04;69.99;295.54;176.87;151.31;173.19;51.28;99.53;246.42;71.98;195.92;66.93;275.15;273.22;292.63;60.49;73.07;69.15;283.68;293.7;59.53
167.41;201.56;181.46;203.01;142.28;176.5;128.16;168.75;199.31;158.96;174.69;184.57;186.84;256.16;151.69;40.39;201.5;270.92;176.71;130.84;170.16;301.99;69.24;296.07;178.24;151.89;175.07;50.14;102.17;253.07;71.79;207.52;68.06;281.5;275.78;291.76;60.84;70.24;70.38;283.73;298.3;60.54
170.55;197.95;169.51;211.32;131.05;170;146.48;157.42;206.51;147.3;185.47;198.15;199.82;256.67;165.92;40.84;213.74;271.25;163.39;132.49;184.94;301.78;68.27;296.16;182.37;151.52;179.92;47.06;105.79;257.24;71.34;217.54;68.79;287.16;278.5;291.71;61.46;66.87;71.83;283.61;275.96;61.72
170.97;195.05;156.15;219.72;122.46;165.62;135.3;172.54;216.5;163.32;195.1;184.89;209.99;257.89;180.98;41.43;222.45;272.62;154.99;133.34;173.88;301.86;67.71;296.32;186.67;151.1;184.48;44.16;109.08;260.84;70.87;225.75;69.21;292.15;280.93;291.77;61.97;62.92;73.32;283.57;256.24;62.95
170.7;192.13;172.02;227.26;114.64;161.58;124.99;186.71;225.82;178.04;203.94;172.83;219.33;259.06;194.92;41.97;230.42;273.93;147.49;133.9;164.01;302.09;67.22;296.73;190.49;151.07;188.52;41.69;111.92;264.3;70.39;232.68;69.69;296.71;283.24;291.79;62.42;58.89;74.76;283.6;238.54;64.19
170.92;189.35;158.34;234.14;107.21;157.79;115.48;199.77;234.43;191.51;212.08;161.75;227.99;260.08;207.61;42.55;238.02;275;140.75;134.55;155;302.25;66.65;296.97;193.94;150.85;192.11;39.19;114.71;267.2;70.04;238.72;70.15;301;285.06;291.61;62.85;54.88;76.11;283.58;222.5;65.35
172.78;186.81;147.37;240.37;99.93;153.98;106.73;184.3;241.24;176.24;219.09;149.87;237.13;260.45;218;42.9;219.35;274.52;130.88;136.33;171.3;302.66;66.14;297.45;195.43;151.56;193.99;38.48;116.92;271.6;70.42;243.82;70.92;305.26;286.18;290.74;63.25;50.71;77.14;283.54;205.71;66.17
174.93;184.42;137.5;245.17;93.52;150.01;126.34;175.16;244.22;165.86;202.19;162.84;220.47;260.57;223.23;42.65;203.73;271.39;145.76;136.11;181.13;302.98;66.14;298.05;192.21;152.1;192.21;39.2;118.41;277.04;71.72;248.11;70.85;309.51;285.5;289.13;63.43;46.75;77.36;283.58;189.92;66.53
163.36;179.37;144.54;250.63;88.71;147.01;144.65;166.3;247.3;156.08;213.04;175.15;204.32;259.51;228.98;42.5;189.24;269.5;160.22;137.42;191.76;303.81;65.39;299.13;197.19;151.94;196.56;36.71;119.8;278.39;72.25;252.56;71.19;312.92;285.88;287.75;63.66;44.08;78.37;283.95;177.14;67.4
154.01;165.65;154.39;259.34;90.41;149.39;136.35;156.15;254.56;146.57;216.87;187.98;215.6;257.82;236.89;42.66;176;270.19;149.24;139.42;178.33;303.83;64.51;298.91;201.25;150.43;199.84;61.44;121.77;277.37;72.43;255.45;70.95;315.58;286.18;286.76;63.6;41.01;79.49;284.53;166.88;68.4
143.5;176.28;167.4;242.49;88.18;157.23;129.26;169.51;235.35;161.59;219.17;177.17;223.97;257.08;246.57;42.82;162.22;273.03;142.5;138.86;170.02;303.7;63.06;298.22;206.04;147.78;203.64;83.26;122.27;275.43;71.88;257.22;70.36;317.46;287.36;286.18;63.29;38.14;80.88;285.62;158.51;69.77
160.56;187.01;182.59;227.4;82.78;165.83;122.24;178.89;218.98;174.08;223.3;168.86;231.6;257.06;226.99;43.01;178.02;276.18;136.4;137.98;162.47;303.99;61.09;298.1;210.63;145.28;207.52;103.08;122.6;273.51;71.23;258.48;70.04;319.11;288.82;285.61;63.02;35.1;82.38;286.78;151.22;71.23
176.29;196.53;196.59;213.55;78.06;173.61;115.78;187.76;203.88;185.77;227.32;161.09;238.76;256.8;208.89;43.17;164.06;278.92;130.77;137.37;155.45;305.2;57.41;297.57;215.61;142.47;211.84;121.39;122.18;271.93;70.52;259.88;69.9;320.72;290.17;284.79;62.81;32.42;83.84;287.88;144.5;72.7
190.61;206.27;180.92;200.6;73.45;180.67;109.52;196;190.19;196.46;231.81;154;245.57;256.82;220.8;43.33;179.73;281.35;125.55;136.64;148.85;307.2;53.81;297.34;219.83;139.06;215.87;137.31;120.92;269.76;69.71;262.06;70.04;322.41;291.78;283.74;62.84;30.44;85.28;288.74;138.19;74.07
175.89;211.34;166.59;190.77;69.62;187.64;105.1;202.5;176.78;205.89;235.13;147.19;252.27;256.56;231.29;43.63;165.75;283.4;120.58;136.58;142.56;308.98;50.92;296.91;223.77;135.54;219.47;152.33;118.93;267.82;68.95;263.93;69.73;323.94;292.43;282.45;62.44;28.37;86.57;289.68;132.54;75.39
189.77;195.46;181.44;177.72;64.82;192.96;98.48;211.33;165.66;215.57;240;140.71;258.46;256.24;241.37;43.52;153.24;285.18;115.78;135.96;136.53;311.19;46.92;296.66;228.23;131.93;223.32;166.23;116.69;266;68.1;265.15;69.36;325.32;292.95;281.12;62.14;26.23;87.83;290.62;127.71;76.74
202.87;180.08;195.32;165.84;60.97;197.9;92.71;219.44;155.35;224.37;244.15;134.81;264.12;255.77;250.54;43.54;141.88;286.77;111.58;135.47;131.2;313.1;43.52;296.39;232.05;128.92;226.56;178.93;114.99;264.09;67.5;265.49;69.05;326.84;293.24;279.72;61.96;52.58;88.94;291.42;123.63;77.93
215.03;193.96;208.21;155.17;57.94;202.36;87.61;226.82;145.73;232.35;247.66;129.37;269.41;255.28;258.74;43.71;131.61;288.08;107.85;135.26;126.36;314.8;40.71;295.95;235.28;126.73;229.25;190.34;113.61;262.05;67.11;265.35;68.72;328.66;293.37;278.12;61.96;76.58;89.91;292.02;119.98;79.05
